Construct;PercentHead;Time
GFP;98,5752;2
GFP;98,59;2
GFP;98,5906;2
GFP;98,599;2
GFP;98,6274;2
GFP;98,7235;2
GFP;98,7241;2
GFP;98,7375;2
GFP;98,7494;2
GFP;98,7698;2
GFP;98,7718;2
GFP;98,7737;2
GFP;98,7775;2
GFP;98,8289;2
GFP;98,8538;2
GFP;98,8713;2
GFP;98,8956;2
GFP;98,9031;2
GFP;98,9395;2
GFP;98,962;2
GFP;98,9859;2
GFP;98,9915;2
GFP;98,9981;2
GFP;99,0035;2
GFP;99,0181;2
GFP;99,0273;2
GFP;99,0376;2
GFP;99,0429;2
GFP;99,0482;2
GFP;99,0544;2
GFP;99,0655;2
GFP;99,0964;2
GFP;99,1167;2
GFP;99,1198;2
GFP;99,1289;2
GFP;99,129;2
GFP;99,17;2
GFP;99,1934;2
GFP;99,2069;2
GFP;99,222;2
GFP;99,2718;2
GFP;99,275;2
GFP;99,2799;2
GFP;99,2892;2
GFP;99,2927;2
GFP;99,2981;2
GFP;99,306;2
GFP;99,3181;2
GFP;99,3404;2
GFP;99,349;2
GFP;99,3598;2
GFP;99,3724;2
GFP;99,4105;2
GFP;99,4105;2
GFP;99,4634;2
GFP;99,4711;2
GFP;99,4807;2
GFP;99,4937;2
GFP;99,5547;2
GFP;99,5689;2
GFP;99,5694;2
GFP;99,574;2
GFP;99,5954;2
GFP;99,6067;2
GFP;99,6141;2
GFP;99,6585;2
GFP;99,6586;2
GFP;99,6625;2
GFP;99,6662;2
GFP;99,67;2
GFP;99,6748;2
GFP;99,6884;2
GFP;99,725;2
GFP;99,7388;2
GFP;99,7438;2
GFP;99,7547;2
GFP;99,7651;2
GFP;99,7665;2
GFP;99,7991;2
GFP;99,8134;2
GFP;99,8291;2
GFP;99,8358;2
GFP;99,8388;2
GFP;99,8423;2
GFP;99,8487;2
GFP;99,8603;2
GFP;99,8685;2
GFP;99,8945;2
GFP;99,9055;2
GFP;99,908;2
GFP;99,9371;2
GFP;99,9578;2
GFP;99,9858;2
GFP;99,9882;2
GFP;99,9883;2
GFP;99,9888;2
GFP;99,9889;2
GFP;99,9896;2
GFP;99,9897;2
GFP;99,9912;2
GFP;99,9914;2
GFP;99,9914;2
GFP;99,9918;2
GFP;99,9919;2
GFP;99,9923;2
GFP;99,9927;2
GFP;99,9928;2
GFP;99,9928;2
GFP;99,9929;2
GFP;99,993;2
GFP;99,9932;2
GFP;99,9938;2
GFP;99,9939;2
GFP;99,994;2
GFP;99,9948;2
GFP;99,9951;2
GFP;99,9957;2
GFP;99,996;2
GFP;99,997;2
GFP;99,4478;4
GFP;98,9417;4
GFP;96,2047;4
GFP;82,1009;4
GFP;97,355;4
GFP;94,3896;4
GFP;99,9574;4
GFP;94,0923;4
GFP;92,4889;4
GFP;98,5577;4
GFP;99,9469;4
GFP;91,7578;4
GFP;98,9337;4
GFP;97,6452;4
GFP;95,0843;4
GFP;97,3336;4
GFP;99,4351;4
GFP;99,9951;4
GFP;99,9972;4
GFP;99,9968;4
GFP;97,1661;4
GFP;99,8282;4
GFP;96,8451;4
GFP;98,8025;4
GFP;93,9736;4
