Construct;Time;Autofluorescence;Experiment
CP106;4;1,043521569;2
CP106;4;0,828445836;2
CP106;4;0,754981806;2
CP106;4;0,863506461;2
CP106;4;0,78917865;2
CP106;4;0,954244659;2
CP106;4;0,832151129;2
CP106;4;1,160701242;2
CP106;4;0,950230853;2
CP106;4;0,87631687;2
CP106;4;1,31854073;2
CP106;4;1,152622234;2
CP106;4;0,875078953;2
CP106;4;0,843158361;2
CP106;4;0,820097589;2
CP106;4;0,884072581;2
CP106;4;0,901937407;2
CP106;4;0,870023945;2
CP106;4;0,804832357;2
CP106;4;0,6918429;2
CP106;4;0,906421152;2
CP106;4;0,815100255;2
CP106;4;0,813362321;2
CP106;4;1,152209197;2
CP106;4;0,967131885;2
CP106;4;0,832033332;2
CP106;4;0,944729689;2
CP106;4;0,841920539;2
CP106;4;0,84770758;2
CP106;4;0,871487448;2
CP106;4;0,820852535;2
CP106;4;0,814184933;2
CP106;4;0,799602539;2
CP106;4;0,893841723;2
CP106;4;0,933103484;2
CP106;4;0,878379778;2
CP106;4;0,87009625;2
CP106;4;0,891153122;2
CP106;4;0,797347438;2
CP105;5;0,907769424;1
CP105;5;0,792783846;1
CP105;5;0,864767255;1
CP105;5;0,799313239;1
CP105;5;0,855397951;1
CP105;5;0,843446602;1
CP105;5;0,784172662;1
CP105;5;0,742616034;1
CP105;5;0,720869565;1
CP105;5;0,842420782;1
CP105;5;0,753680336;1
CP105;5;0,801231611;1
CP105;5;0,844801223;1
CP105;5;0,864452728;1
CP105;5;0,89085319;1
CP105;5;0,883240407;1
CP105;5;0,978011472;1
CP105;5;0,909750567;1
CP105;5;0,826556544;1
CP105;5;0,861561119;1
CP105;5;0,784331248;1
CP105;5;0,786151079;1
CP105;5;0,78968254;1
CP105;5;0,750815217;1
CP105;5;0,943900602;1
CP105;5;0,962786794;1
CP105;5;0,786692759;1
CP105;5;0,880273202;1
CP105;5;0,874392783;1
CP105;5;0,975942261;1
CP105;5;0,808705357;1
CP105;5;0,834332294;1
CP105;5;0,817286036;1
CP105;5;0,822159888;1
CP105;5;0,740237691;1
CP105;5;0,733942625;1
CP105;5;0,838059701;1
CP105;5;0,782797858;1
CP105;5;0,714720591;1
CP105;5;0,745708467;1
CP105;5;0,730534148;1
CP105;5;0,860410831;1
CP105;5;0,828675136;1
CP105;5;0,867267513;1
CP105;5;0,876024225;1
CP105;5;0,765935919;1
CP105;5;0,810490694;1
CP106;5;1,122517671;1
CP106;5;1,112418831;1
CP106;5;1,025370888;1
CP106;5;1,011567611;1
CP106;5;1,309289233;1
CP106;5;1,112945265;1
CP106;5;1,330732155;1
CP106;5;0,944510503;1
CP106;5;1,075719475;1
CP106;5;1,032052449;1
CP106;5;0,987294469;1
CP106;5;1,052906287;1
CP106;5;1,75852949;1
CP106;5;2,167002688;1
CP106;5;1,636070853;1
CP106;5;2,306900726;1
CP106;5;1,268048606;1
CP106;5;1,35165692;1
CP106;5;1,275238408;1
CP106;5;0,906651109;1
CP106;5;1,113972463;1
CP106;5;1,023837436;1
CP106;5;1,186894587;1
CP106;5;1,075575404;1
